Submission ID,Respondent ID,Submitted at,Enter your age,Enter your Gender,Program of Study,Semester,Program/Course,Program Other Field,Prior Meditation Experience:,Frequency of Meditation:,Average Duration of each meditation session:,Type of Meditation practiced:,Would you do meditation voluntarily? By yourself ,PRE1. I feel stressed about academic deadlines and exams.,PRE2. I struggle to concentrate on studies due to stress.,PRE3. Meditation does not help reduce my stress.,PRE4. I often feel anxious before tests or assignments.,PRE5. I can manage multiple academic tasks without feeling overwhelmed.,PRE6. Stress negatively affects my academic performance.,PRE7. I feel calm and focused during study sessions.,POST1. I feel stressed about academic deadlines and exams.,POST2. I struggle to concentrate on studies due to stress.,POST3. Meditation does not help reduce my stress.,POST4. I often feel anxious before tests or assignments.,POST5. I can manage multiple academic tasks without feeling overwhelmed.,POST6. Stress negatively affects my academic performance.,POST7. I feel calm and focused during study sessions.,1. How did meditation influence your stress levels during academic tasks?,"2. Which meditation practices were most effective for you, and why?","3. Did meditation help improve focus, time management, or emotional stability? Please explain.",Consent Checkbox,Consent Checkbox (Yes),MISC1. Did meditation just work for you now?,Relaxing Recommendations,Relaxing Recommendations (Check me for relaxing recommendations ),"MISC2. How frequently do you experience physical symptoms of stress (e.g., headaches, muscle tension) related to academic work?","Describe your problem: (And don't worry, this is full private. We won't say anything, nor will we show any of the teachers)",MISC3. Do you use meditation to cope with exam/academic stress?,Do you do anything else than just meditation? ,What do you actually do to reduce stress during exam time?,So... what do you do to relax during exam time?,MISC4. Will you recommend meditation to your classmates or other students for stress relief?,MISC5. Do you have any other thoughts about meditation and college stress?,"MISC6. How did our form feel compared to the others? Good, not good, etc? Can you please rate it? where 0 is worst, and 10 is best.",Form Comparison: Unique or not.,"Form Comparison: Unique or not. (Yes, definitely unique. Want to see more like this. )","Form Comparison: Unique or not. (Unique, but I don't think I want to see more like this. I want the standard ones. )","Form Comparison: Unique or not. (I don't know, dude. It looks the same to me.)"
jazOQ21,ob9N8je,2025-10-14 6:22:22,22,Male,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,5,5,1,1,5,3,3,1,2,2,2,2,2,2,Calmness ,Pranayama,Yes,Yes,TRUE,5,,FALSE,"No symptoms, bro! All fine. ",,Yes,"Music, Games, Hang out with friends",,,Yes,No,10,"I don't know, dude. It looks the same to me., Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,TRUE
q4z2AM5,VLp7W6J,2025-10-14 6:22:22,21,Male,Postgraduate (PG),1,MCA,,None,1-2 days/week,5-15 mins,Mindfullness/Awareness,No,5,3,5,2,5,4,4,5,5,5,3,4,5,4,It helped me stay calm and reduced anxiety during exams and assignments.,Deep breathing and mindfulness were most effective because they quickly relaxed my mind and improved focus.,"Yes, it improved my focus and emotional balance, helping me manage time and tasks more efficiently",Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Music,,Maybe?,No,10,"Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me., Yes, definitely unique. Want to see more like this. ",TRUE,TRUE,TRUE
J9oNAxX,aQOJpMv,2025-10-14 6:22:26,21,Female,Postgraduate (PG),1,MCA,,None,1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,5,5,4,1,3,4,1,5,5,5,1,3,5,1,Not really I feel sleepy while meditating ,"Idk
",Kinda maybe???,Yes,TRUE,1,,FALSE,"Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), Stress eating? We honestly don't know if this is possible, but some people have said it's true?, Headaches.",,No,,"Hang out with friends, Just roam around, Music",,Maybe?, ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
obz4MZb,rjD98el,2025-10-14 6:22:45,22,Female,Postgraduate (PG),1,MCA,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Yes,3,3,1,2,3,2,3,2,3,1,2,3,2,2,Meditation leads calm and composed ones and it's helps to concentrate ,Not this one are that only meditation ,Yes ,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Headaches., Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Nothing so serious",,Yes,Music,,,Yes,No,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
ODEW5ZY,EkqVo2N,2025-10-14 6:22:47,21,Female,Postgraduate (PG),1,MCA,,Occasional (1–3 times/week),0 days/week,5-15 mins,Mantra-based,No,1,1,5,1,4,1,3,1,1,5,1,4,1,2,It helps to maintain mental health and feel relaxed.,Mathura based,Yes,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,Watching sunset,,,Yes,No,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
MeV9zZk,VLp7Wrv,2025-10-14 6:22:59,23,Male,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Mantra-based,Maybe?,5,4,1,3,1,5,2,2,2,1,2,3,4,4,Very effective ,Mantras ,Yes,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,"Games, Hang out with friends",,,Maybe?,,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
WOqv5av,J91jE7d,2025-10-14 6:23:05,21,Male,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mindfullness/Awareness,No,4,3,2,2,2,3,3,3,3,3,4,3,2,3,So much,No,Mindfreeness,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Games,,Maybe?,No,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
pbzlBEJ,rjD98zM,2025-10-14 6:23:29,20,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,5,4,1,5,2,5,3,3,3,2,2,3,3,2,That's enough ,Breath in and breath out,Yes,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"Headaches., Dizziness?, Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), Feel constantly tired.",,Yes,Music,,,No,Nothing,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
J9oNAy4,Zj9kb4a,2025-10-14 6:23:50,21,Male,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),No,2,3,3,2,3,3,2,3,2,3,3,3,3,3,Feel refreshed ,Breathing ,Yes it improves focus and feel refreshed ,Yes,TRUE,2,,,"No symptoms, bro! All fine. ",,No,,"Music, Games",,Maybe?,No,8,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
kdzV6L1,EkqVojq,2025-10-14 6:23:50,21,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Mindfullness/Awareness,No,4,4,3,4,4,4,3,4,4,4,4,4,4,3,Calmness,Yoga,Yes it improved but I don't know to explain ,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,Dizziness?,,No,,Music,,Yes,No,8,"I don't know, dude. It looks the same to me.",FALSE,FALSE,TRUE
vGzQyRv,rjD98N5,2025-10-14 6:23:50,21,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),No,4,4,2,2,2,4,3,4,4,2,2,2,4,3,"Meditation had a noticeable influence on my stress levels during academic tasks. Before practicing meditation, I often felt overwhelmed, especially when managing multiple deadlines or preparing for exams",The most effective meditation practice for me was mindfulness meditation. This,Yes,Yes,TRUE,2,,FALSE,Headaches.,,Yes,Music,,,Yes,No,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
44Ogxek,9qN0jG1,2025-10-14 6:24:04,21,Male,Postgraduate (PG),1,MCA,,None,Daily,Less than 5 mins,Mindfullness/Awareness,No,3,3,3,2,4,3,3,3,2,3,3,2,4,3,Im really bad at meditation ,"Same, not good at meditation ",Maybe,Yes,TRUE,1,,FALSE,Headaches.,,Yes,Games,,,Maybe?,Nothing,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
gDzRMyd,xXVb5X9,2025-10-14 6:24:19,22,Male,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),No,5,3,1,4,3,3,4,4,3,3,4,3,4,4,Well,Breath in out meditation ,Yes,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,"Music, Games",,,Yes,No,8,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
9q4zWGG,zxEB5EE,2025-10-14 6:24:26,21,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mindfullness/Awareness,No,4,3,2,4,2,4,3,3,4,3,3,3,3,3,I don't know yet maybe I might be able to see changes if I practice more.,I just got to know there are multiple ways we can meditate so one that I have done is sitting and meditating ,I felt fresh and calmness after ,Yes,TRUE,2,,FALSE,"Headaches., Feel constantly tired.",,No,,Music,,Maybe?,Not really ,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
WOqvNOJ,KYp2KpK,2025-10-14 6:24:35,21,Prefer not to say,Postgraduate (PG),1,MCA,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,3,3,3,3,4,2,3,3,3,3,3,3,3,3,More Focused,Breathing meditation was the most effective for me ,Yes ,Yes,TRUE,1,,FALSE,Feel constantly tired.,,Yes,,,,,,5,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
68PX78e,pbeqpeE,2025-10-14 6:24:36,21,Male,Postgraduate (PG),1,MCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,No,3,3,3,3,3,3,3,2,3,3,3,2,3,2,It helped me to reduce stress by a bit but not fully ,Simply breathing ,No ,Yes,TRUE,4,,,,,Yes,,,,,,4,"I don't know, dude. It looks the same to me.",FALSE,FALSE,TRUE
WOqvNJP,GxeEA6Q,2025-10-14 6:24:49,22,Female,Postgraduate (PG),1,MCA,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Yes,4,3,2,2,3,2,4,3,3,1,2,4,3,3,Meditation helped me to reduce my stress.,Mindfulness ,Meditation helped me to improve focus and calmness.,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,"Music, Games",,,Yes,,5,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
9q4zW94,81ND4ak,2025-10-14 6:25:14,20,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,5,4,3,4,3,4,4,4,4,3,4,3,4,4,That's enough ,Breath in breath out,Yes,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"Headaches., Feel constantly tired.",,No,,Just roam around,,Maybe?,No,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
yP1W6J6,J91jvlX,2025-10-14 6:25:29,20,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,15-30 mins,Breath-based (Pranayama),Yes,5,5,2,4,2,4,4,2,2,2,3,4,3,4,It reduces stress and keep mind calm ,10 mins of relaxation for the body and mind without any thoughts or stress,Yes,Yes,TRUE,3,,,"Feel constantly tired., Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,"Music, Hang out with friends",,,Yes,No,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
NpPe67N,ODQqMXM,2025-10-14 6:25:34,21,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,15-30 mins,Mindfullness/Awareness,Maybe?,3,4,3,4,1,3,4,3,3,4,3,5,2,3,Lower stress and anxiety ,Concentrate on breathing,Helps in concentration ,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,Headaches.,,Yes,"Games, Hang out with friends",,,Maybe?,,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
obz4yG5,b5ZRQW7,2025-10-14 6:25:41,21,Male,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,3,3,2,4,3,4,3,3,2,2,2,3,3,3,Not yet in taht type of meditation,Breathing meditation for me,Yes but it was applicable after 1 month or it take some time ,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Other, Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,No,,,,,,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
81r0KQr,2EjdGKM,2025-10-14 6:25:49,21,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),No,4,4,4,4,3,4,3,3,3,4,4,3,4,3,"By promoting relaxation and mental clarity, it equips students with better coping mechanisms to handle academic pressures and anxiety effectively. 
",Have no idea,"No , as i am not much into meditation , meditation didn't help to improve Focus o manage the time",Yes,TRUE,1,,,"No symptoms, bro! All fine. ",,No,,Music,,Maybe?,No,4,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
Y59LQWv,GxeEAle,2025-10-14 6:25:50,20,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,3,2,1,2,3,3,2,3,2,2,3,3,4,3,Giving some time for my mind to figure out things,"All kind of, one or the other helps.","Yesss.
All the messed up things can be figured out.",Yes,TRUE,2,,FALSE,Feel constantly tired.,,Yes,,,,Maybe?,No,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
gDzR0ZD,PdRQJAB,2025-10-14 6:26:42,21,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,5-15 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,3,3,2,1,2,3,3,1,3,3,1,3,3,3,Helps to keep mind calm and relaxed.,"Yoga based it is useful to achieve physical, mental, and emotional well-being.","Yes, meditation helps to increase the concentration The practice trains your mind to better control attention, regulate emotional responses, and increase your self-awareness, which are all skills that underlie effective time management. ",Yes,TRUE,1,,FALSE,"Headaches., Feel constantly tired.",,No,,"Music, Hang out with friends",,Maybe?,More workload,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
2EoMev9,LZDxLdl,2025-10-14 6:26:48,20,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Mindfullness/Awareness,No,5,5,3,4,2,3,3,3,3,3,3,4,3,4,"Meditation, particularly mindfulness meditation, can help create a space between your thoughts and your reactions to them",Mindfulness meditation ,Yes mediation helps me to manage  stress nd focus oo studies ,Yes,TRUE,2,,FALSE,Headaches.,,Yes,Music,,,Maybe?,No ,5,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
7RE8W1P,rjD9MVN,2025-10-14 6:27:26,21,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,No,5,4,2,5,1,4,2,5,3,2,5,2,2,3,"Atleast for some time my mind will be relaxed, I can stop thinking about the academics for sometime. ",Only Meditation ,Yah some what ,Yes,TRUE,4,,,"No symptoms, bro! All fine. ",,No,,Hobbies,,Yes,Meditation really helps to concentrate and reduce the stress,10,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,TRUE,FALSE
lbzPyMB,5BX0Pvo,2025-10-14 6:27:40,21,Male,Postgraduate (PG),1,MCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Breath-based (Pranayama),No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Make mind free,Savasana,Yes,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,,,Maybe?,,4,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
Ek64XeL,xXVb5Ro,2025-10-14 6:28:50,21,Female,Undergraduate (UG),1,MCA,,None,1-2 days/week,5-15 mins,Breath-based (Pranayama),Maybe?,2,1,2,3,4,2,3,3,1,2,2,4,1,3,Good,Pranayama,Yes ofcourse... my concentration has been increased and even more listenning capability,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Dizziness?,,Yes,Dance,,Dance and singing,Yes,Workload at colleges must be reduced,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
VLNkZDg,PdRQqj5,2025-10-14 6:33:30,21,Female,Postgraduate (PG),1,MCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),No,5,5,4,4,1,5,1,3,5,4,4,1,5,4,"Not that effective 

","breathing exercises were most effective for quickly calming my mind and reduce stress
","Yes, some what better after meditation ",Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Headaches., Dizziness?",,No,,Music,,Maybe?,No idea,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
lb4a87v,5BXAP9E,2025-10-14 23:38:00,21,Female,Postgraduate (PG),1,MCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Yes,3,3,2,4,4,2,3,3,3,2,3,3,3,3,Good,Calmness ofcourse yess but should be constant ,"Yes, capable to control ourselves and our emotions ",Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,Feel constantly tired.,,No,,"Music, Just roam around",,Yes,No,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
VLxQYdv,Ekq2Bgl,2025-10-15 11:14:52,21,Male,Undergraduate (UG),3,BCA,,Rare (less than once a week),1-2 days/week,15-30 mins,Breath-based (Pranayama),Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"Dizziness?, Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Feel constantly tired., Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work), Headaches., No symptoms, bro! All fine. , Stress eating? We honestly don't know if this is possible, but some people have said it's true?",,No,,Just roam around,,, ,10,"Yes, definitely unique. Want to see more like this. ",TRUE ,FALSE ,FALSE
obxe7RV,vGXl07d,2025-10-15 11:17:44,18,Male,Undergraduate (UG),3,BCA,,None,Daily,5-15 mins,Mindfullness/Awareness,Yes,1,1,1,1,1,5,5,1,1,5,1,1,1,5,,,,Yes,TRUE,0,,FALSE,Hair loss due to stress,,No,,"Hobbies, Games, Music",,No, ,9,"Unique, but I don't think I want to see more like this. I want the standard ones. ",TRUE ,FALSE ,FALSE
2ERaJ2b,zxEkW11,2025-10-15 11:21:38,19,Male,Undergraduate (UG),3,BCA,,Rare (less than once a week),3-4 days/week,Less than 5 mins,Mindfullness/Awareness,Yes,4,2,2,2,4,2,4,4,2,2,2,4,3,3,,,,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,,,Yes,,,,, ,7,,TRUE ,FALSE ,FALSE
q4NDELg,pbeQ49y,2025-10-15 11:22:35,19,Female,Undergraduate (UG),3,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mindfullness/Awareness,Yes,4,3,2,3,3,4,3,3,3,2,4,3,4,3,,,,Yes,TRUE,2,,FALSE,"Dizziness?, Feel constantly tired.",,No,,Music,,Maybe?, ,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE ,FALSE
PdP1BOV,PdR78Lx,2025-10-15 11:23:09,19,Male,Undergraduate (UG),3,BCA,,Occasional (1–3 times/week),1-2 days/week,Less than 5 mins,"Moving Meditation (like Tai-Chi, Yoga, etc)",Yes,3,2,4,2,4,2,3,2,4,2,1,1,3,2,,,,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,,,,, ,4,,FALSE,FALSE ,FALSE
1ABdbMp,rjDeGvl,2025-10-15 11:28:24,18,Female,Undergraduate (UG),2,BCA,,None,3-4 days/week,15-30 mins,Breath-based (Pranayama),Yes,4,3,4,2,2,4,5,4,5,3,4,4,4,3,,,,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Dizziness?, Feel constantly tired., Yes, Headaches., No symptoms, bro! All fine. ",,Yes,"Games, Just roam around, Hang out with friends",,,Yes, ,7,"Yes, definitely unique. Want to see more like this. ",TRUE ,FALSE ,FALSE
68VjrDe,5BXJeBo,2025-10-15 11:31:49,19,Male,Undergraduate (UG),3,BCA,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,No,4,4,5,4,5,4,4,4,4,3,3,4,3,3,,,,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Stress eating? We honestly don't know if this is possible, but some people have said it's true?, No symptoms, bro! All fine. ",,No,,,,Yes, ,8,,TRUE ,FALSE ,FALSE
MeGN8pE,yPXBo7x,2025-10-15 11:35:21,19,Female,Undergraduate (UG),3,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Yes,5,4,1,3,2,5,2,4,4,2,2,3,3,5,,Pranyama ,Yes,Yes,TRUE,3,,,"Feel constantly tired., Stress eating? We honestly don't know if this is possible, but some people have said it's true?, Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Difficulty sleeping (not counting the part where you stay up late to watch anime or a TV show... and you actually work on your academic course work)",,Yes,"Music, Just roam around",,,Maybe?,Difficult to manage college stress sometimes,9,,TRUE ,FALSE ,FALSE
MeGN8Bk,ODQ6b97,2025-10-15 11:36:00,19,Female,Undergraduate (UG),3,BCA,,None,1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,4,3,1,3,2,3,2,3,3,3,3,3,3,3,,,,Yes,TRUE,4,,,Headaches.,,Yes,Music,,,Yes, ,7,,TRUE,FALSE ,FALSE
EkadvJA,QKobz61,2025-10-15 11:37:59,19,Female,Undergraduate (UG),3,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,5,4,1,5,5,5,4,5,5,5,5,5,5,5,,,,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,,,No,,,,Yes, ,7,,FALSE,FALSE ,FALSE
pbZyvlB,NpqaPJj,2025-10-15 11:55:03,19,Male,Undergraduate (UG),3,BCA,,Occasional (1–3 times/week),3-4 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,5,3,1,3,3,4,3,5,4,1,3,3,4,4,,,,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,Headaches.,,No,,"Music, Hang out with friends",,Yes,Meditation should be mandatory in college,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE ,FALSE
eqoQoyl,jaejE5J,2025-10-15 12:02:40,19,Male,Undergraduate (UG),3,BCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),No,3,4,5,4,4,4,4,3,4,2,2,3,2,3,,,,Yes,TRUE,2,,, ,,No,,,,, ,6,,TRUE,FALSE ,FALSE
5BOjQ6o,PdR7g11,2025-10-15 12:13:13,18,Female,Undergraduate (UG),3,BCA,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Mindfullness/Awareness,Yes,5,5,2,4,3,4,3,5,4,4,5,4,4,4,,,,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,"Music, Other",,,Maybe?,,9,"Unique, but I don't think I want to see more like this. I want the standard ones. ",TRUE,FALSE ,FALSE 
0QAB5j9,WOJLgpa,2025-10-15 12:15:07,20,Male,Undergraduate (UG),3,BCA,,Extensive (daily practice),5-6 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,3,3,1,1,4,1,5,3,5,5,5,4,3,3,Good ,Breathing ,Yes ,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,"Feel constantly tired., Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,Just roam around,,,Yes,Do meditation ,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
LZo7BWJ,rjDe1Ep,2025-10-15 12:27:31,18,Female,Undergraduate (UG),3,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Mantra-based,No,5,4,3,2,3,5,4,5,4,3,3,5,5,4,,,,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,,,Yes,,,,,,3,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,FALSE,TRUE
Ekad26A,b5Zo1le,2025-10-15 12:56:59,20,Male,Undergraduate (UG),3,BCA,,None,0 days/week,5-15 mins,Breath-based (Pranayama),No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,Yes,TRUE,3,,,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,,,,,,5,"I don't know, dude. It looks the same to me.",TRUE,FALSE,TRUE
jaE6OkY,vGXl99l,2025-10-15 13:12:58,19,Female,Undergraduate (UG),3,BCA,,None,1-2 days/week,Less than 5 mins,Mindfullness/Awareness,Yes,3,4,2,3,3,3,3,3,3,3,3,3,3,3,,,,Yes,TRUE,3,,,Feel constantly tired.,,No,,Music,,Maybe?,,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,TRUE
obxR6N5,Zj9MMJa,2025-10-15 13:21:46,19,Female,Undergraduate (UG),2,BCA,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,Yes,Yes,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,Games,,,Yes,Yes,3,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,TRUE
jaEoDA1,1AWLLML,2025-10-15 13:22:01,18,Male,Undergraduate (UG),3,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Yes,5,5,1,3,5,1,4,3,3,2,3,5,1,4,,,,Yes,TRUE,3,,,"No symptoms, bro! All fine. ",,No,,Music,,Maybe?,,8,"Yes, definitely unique. Want to see more like this.",FALSE,FALSE,TRUE
PdP90B1,BzEvE2R,2025-10-15 14:08:54,19,Male,Undergraduate (UG),3,BCA,,Rare (less than once a week),1-2 days/week,5-15 mins,Mantra-based,Maybe?,3,3,3,2,4,3,5,2,3,3,2,4,2,4,,,,Yes,TRUE,2,,FALSE,Headaches.,,No,,"Music, Just roam around, Hang out with friends",,Maybe?,,9,"Yes, definitely unique. Want to see more like this. ",TRUE,TRUE,FALSE
b5AxPeo,ODQOoeK,2025-10-16 4:34:32,18,Male,Undergraduate (UG),1,BCA,,Occasional (1–3 times/week),3-4 days/week,5-15 mins,Mindfullness/Awareness,Yes,5,4,4,4,4,4,4,3,4,3,5,4,3,4,,,,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,Yes,"Games, Hobbies, Hang out with friends, Just roam around, Music, Other",,,Yes,,10,"Unique, but I don't think I want to see more like this. I want the standard ones. ",FALSE,FALSE,FALSE
